Scenario,Next Precondition,Similarity,Result
A user enters patient notes in an Automated AI-based Clinical Coding App for medical coding.,Patient notes are successfully entered in the App.,0.6803,False
The patient notes entered by the user in an Automated AI-based Clinical Coding App for medical coding are added in the Data Service for further processing.,Patient notes are available in the Data Service for processing.,0.7188,False
ICD codes are assigned to the patient notes using a language classification model from the AI center.,ICD codes have been assigned to the patient notes and are available for review in the Action Center of the app.,0.8028,False
The assigned ICD codes are reviewed by a medical coder in the UiPath Action Center.,The assigned ICD codes have been approved by the medical coder in the Action Center.,0.8792,False
"A user enters patient notes in an Automated AI-based Clinical Coding App for medical coding. After it is assgined ICD code by AI, it is approved or rejected by the medical coder. If the assigned codes are approved by the medical coder, the data is entered in the legacy application by a robot.",Lab reports are available in a format readable by the RPA robot and the UiPath Document Understanding is able to classify the reports.,0.321,False
Automated extraction of required fields from the lab report for a specific type of blood test.,"Automatically extracted data from the lab report is available in the global database, and ML models for different types of blood tests are available in the UiPath AI Center.",0.6247,False
Analysis of blood test reports using ML models hosted in the UiPath AI Center to derive prescriptive observations.,Data on similar cases is available in the database and is accessible by the RPA robot.,0.3674,False
Highlighting similar cases of a test report found in the database for the specific hospital or laboratory to the lab clinician.,Past blood test reports of the same patient are available in the database and accessible by the RPA robot.,0.5273,False
Provide additional recommendations based on a test report on changes observed over time by reviewing past blood test reports of the same patient.,Customer does not have an existing account on the platform.,0.012,True
A new customer registers an account on the online grocery store platform.,Vendor does not have an existing account on the platform.,0.438,False
A new vendor registers an account on the online grocery store platform.,Customer is logged in.,0.4075,False
A customer submits a grocery order on the online store platform using an image of their handwritten list.,Vendor is logged in and has received a new order notification.,0.2942,False
A vendor receives and fulfills a customer's grocery order on the online store platform.,Handwritten grocery list image is uploaded by the customer or received by the vendor.,0.5601,False
The system automatically translates the handwritten grocery list image into the preferred language for both customers and vendors.,Customer places an order or requires assistance.,0.3853,False
The system provides customer support and order notifications using Twilio API.,An input Excel file containing currency conversion data is available.,0.0371,True
The currency conversion team receives an input Excel file containing currency conversion data.,The system is connected to the internet and has access to Google's live data.,0.1043,True
The system retrieves live currency conversion data from Google.,Input Excel file and live currency conversion data from Google are available.,0.8099,False
The system automatically processes the currency conversion based on the retrieved live data (specified by user by an Excel file).,Automated currency conversion tasks have been completed.,0.7113,False
The system validates the results of the automated currency conversion.,User has access to the system and defined websites for journal search and download.,0.1323,True
A user searches defined websites for specific topics and downloads journals and white papers.,Journals and white papers are downloaded and accessible for extraction.,0.5594,False
The system extracts specific details from downloaded journals and white papers (provided by user).,The email containing business travel information must be sent to the specified email address or system.,0.1554,True
The 'Easy Business Tour' system receives business travel information of an employee or group of employees via email.,The travel information must be successfully received and validated.,0.508,False
"A system named 'Easy Business Tour' receives travel information (source, destination, people count, date range) through email, parses the info. Now the system displays available flights for the specified date, time range, source, and destination.",Available flights must be displayed and a specific flight must be selected by the employee/group of employees.,0.401,False
"The 'Easy Business Tour' system reserves the flight ticket for the customer(s) based on the selected flight from the options provided by the system after it was provided the source, destination, and date range.",The flight ticket must be successfully reserved for the customer(s).,0.4442,False
The 'Easy Business Tour' system sends the reserved flight ticket to the concerned email-id from where the booking request was sent.,The system must encounter an issue while processing the booking request.,0.4128,False
"If the booking request cannot be processed successfully by 'Easy Business Tour' system (automated flight ticket booking based on passanger info), the system requests a new proposal of date/time from the requesting team.",User intends to enroll in the facial recognition system.,0.1639,True
A user enrolls in the facial recognition system for the first time.,User is registered in the facial recognition system.,0.8488,False
A registered user is authenticated using facial recognition.,System is operational and actively monitoring for individuals.,0.2947,False
The facial recognition system identifies individuals in real-time.,System is available for verification purposes.,0.2955,False
The facial recognition system verifies individuals swiftly and securely.,HR has received and validated the results shared from the managers for the salary hike cycle.,0.0963,True
HR initiates the process of generating offer letters for the salary hike cycle.,Offer letters for the salary hike cycle have been generated.,0.8119,False
Updating employee details and mailing all candidates about the salary hike.,Results for the salary hike cycle are shared by the managers.,0.5638,False
The bot performs validation checks on the salary hike parameters and employee details.,All required validations and employee details are updated and verified.,0.4663,False
The bot initiates multi-architecture processing for completing the salary hike process.,There should be a source of resumes available for collection.,0.0871,True
Human resources collect resumes from various sources.,Resumes must be available in the company's database or designated location.,0.5759,False
The system determines potential candidates from a set of resumes collected from several job portals.,The assistant software must be developed and integrated into the hiring process.,0.466,False
The company implements an assistant software to enhance the hiring process.,User must be logged in and have selected a vehicle of interest.,0.1644,True
User negotiates the price of a vehicle through the Trusted Wheels application.,User must have purchased a vehicle after negotiating with the seller through the Trusted Wheels application.,0.8319,False
User validates all documents related to the purchased vehicle using the Trusted Wheels application.,User must have agreed to purchase a vehicle and be ready to make the payment.,0.4706,False
User makes a payment for a vehicle through the Trusted Wheels application.,User must have selected a vehicle for potential purchase.,0.6646,False
