name,scenario,actors,preconditions,steps,result
User Enters Patient Notes,A user enters patient notes in an Automated AI-based Clinical Coding App for medical coding.,['User'],User has access to the Clinical Coding App and patient notes are available for coding.,1: User navigates to the patient notes section in the App. 2: User enters the patient notes including relevant medical information. 3: User saves the entered patient notes.,False
Patient Notes Added in Data Service,The patient notes entered by the user in an Automated AI-based Clinical Coding App for medical coding are added in the Data Service for further processing.,['System'],Patient notes are successfully entered in the App.,1: The entered patient notes are automatically sent to the Data Service for processing. 2: Data Service processes and stores the patient notes for further analysis.,False
Assignment of ICD Codes to patient notes using Language Classification Model for an Automated AI-based Clinical Coding App,ICD codes are assigned to the patient notes using a language classification model from the AI center.,['AI Center'],Patient notes are available in the Data Service for processing.,1: The AI center's language classification model processes the patient notes. 2: The model assigns ICD codes based on the information extracted from the patient notes.,False
Review of Assigned ICD Codes to Patient Notes in An Automated AI-based Clinical Coding App by Medical Coder,The assigned ICD codes are reviewed by a medical coder in the UiPath Action Center.,['Medical Coder'],ICD codes have been assigned to the patient notes and are available for review in the Action Center of the app.,1: Medical coder accesses the assigned ICD codes in the Action Center. 2: Medical coder reviews the assigned codes and verifies their accuracy and relevance. 3: Medical coder either approves or rejects the assigned ICD codes.,False
Data Entry in Legacy Application by Robot,"A user enters patient notes in an Automated AI-based Clinical Coding App for medical coding. After it is assgined ICD code by AI, it is approved or rejected by the medical coder. If the assigned codes are approved by the medical coder, the data is entered in the legacy application by a robot.",['Robot'],The assigned ICD codes have been approved by the medical coder in the Action Center.,1: Robot fetches the approved ICD codes and associated patient notes from the Data Service. 2: Robot enters the data including the approved ICD codes into the legacy application for further processing.,True
Blood Test Report Extraction (ai-enabled-blood-test-report-analysis project),Automated extraction of required fields from the lab report for a specific type of blood test.,"['RPA Robot', 'Lab Clinician', 'Doctor']",Lab reports are available in a format readable by the RPA robot and the UiPath Document Understanding is able to classify the reports.,1: RPA robot fetches the lab report for a specific type of blood test. 2: RPA robot uses UiPath Document Understanding to classify the lab report for the type of test. 3: RPA robot extracts the required fields from the report. 4: RPA robot saves the extracted data in a global database without any Personally Identifiable Information (PII).,False
Blood Test Report Analysis using ML Models (ai-enabled-blood-test-report-analysis project),Analysis of blood test reports using ML models hosted in the UiPath AI Center to derive prescriptive observations.,"['RPA Robot', 'ML Model', 'Lab Clinician', 'Doctor']","Automatically extracted data from the lab report is available in the global database, and ML models for different types of blood tests are available in the UiPath AI Center.",1: RPA robot sends the report parameters to the ML models hosted in the UiPath AI Center. 2: ML models analyze the report parameters and derive prescriptive observations. 3: Prescriptive observations are attached to the test report and sent to the lab clinician.,False
Highlight Similar Cases (ai-enabled-blood-test-report-analysis project),Highlighting similar cases of a test report found in the database for the specific hospital or laboratory to the lab clinician.,"['RPA Robot', 'Lab Clinician', 'Doctor']",Data on similar cases is available in the database and is accessible by the RPA robot.,1: RPA robot identifies similar cases for the specific hospital or laboratory based on the test report. 2: Lab clinician or doctor receives information on similar cases found in the database.,False
Review Past Blood Test Reports (ai-enabled-blood-test-report-analysis project),Provide additional recommendations based on a test report on changes observed over time by reviewing past blood test reports of the same patient.,"['RPA Robot', 'Lab Clinician', 'Doctor']",Past blood test reports of the same patient are available in the database and accessible by the RPA robot.,1: RPA robot retrieves past blood test reports of the same patient. 2: Lab clinician or doctor receives additional recommendations based on changes observed over time.,True
Customer Registration in Online AI Assisted Grocery Store for Elderly,A new customer registers an account on the online grocery store platform.,['New Customer'],Customer does not have an existing account on the platform.,"1: New Customer navigates to the registration page of the online grocery store platform. 2: New Customer fills in the required registration details such as name, contact details, and preferred language. 3: The system validates the provided details and creates a new customer account.",False
Vendor Registration to Online AI Assisted Grocery Store for Elderly,A new vendor registers an account on the online grocery store platform.,['New Vendor'],Vendor does not have an existing account on the platform.,"1: New Vendor navigates to the registration page of the online grocery store platform. 2: New Vendor fills in the required registration details such as business name, contact details, and preferred language for communication. 3: New Vendor submits any required licenses or certifications for verification. 4: The system validates the provided details, creates a new vendor account, and enables the vendor to receive and process orders.",False
Customer Places an Order on the Online AI Assisted Grocery Store for Elderly,A customer submits a grocery order on the online store platform using an image of their handwritten list.,['Customer'],Customer is logged in.,1: Customer uploads an image of the grocery list or selects a previously uploaded list from their profile. 2: The system generates a list from the image. 3: Customer reviews and confirms the items listed based on the translated content. 4: Customer proceeds to checkout. 5: The system triggers the checkout process and notifies the vendor about the new order using Twilio API.,False
Vendor Processes an Order,A vendor receives and fulfills a customer's grocery order on the online store platform.,Vendor,Vendor is logged in and has received a new order notification.,1: Vendor reviews the details of the customer's order including the translated content. 2: Vendor confirms the availability of the listed items and determines the delivery or pickup options. 3: Vendor marks the order as processed and ready for delivery or pickup.,False
Automated Language Translation in Online AI Assisted Grocery Store for Elderly,The system automatically translates the handwritten grocery list image into the preferred language for both customers and vendors.,System,Handwritten grocery list image is uploaded by the customer or received by the vendor.,1: The system processes the uploaded image using Google Cloud Vision API to extract the text content. 2: The system translates the extracted text into the preferred language selected by the customer or vendor. 3: The translated content is displayed for review and confirmation by the respective user.,False
Customer Support via Twilio on Online AI Assisted Grocery Store for Elderly,The system provides customer support and order notifications using Twilio API.,"System, Customer",Customer places an order or requires assistance.,"1: The system sends order confirmation and updates to the customer via SMS using Twilio API. 2: The system notifies the customer about the order status, delivery details, and other relevant updates through automated messages.",True
Receive Input Excel File (Module: Currency Conversion in Banking Backend using Google Live Data),The currency conversion team receives an input Excel file containing currency conversion data.,['Currency Conversion Team'],An input Excel file containing currency conversion data is available.,1: The currency conversion team obtains the input Excel file from the source. 2: The team verifies the integrity and correctness of the data within the Excel file.,False
Retrieve Live Data from Google (Module: Currency Conversion in Banking Backend using Google Live Data),The system retrieves live currency conversion data from Google.,['System'],The system is connected to the internet and has access to Google's live data.,1: The system triggers a request to Google for live currency conversion data. 2: Google's live data is fetched and validated for accuracy and reliability.,False
Automatic Currency Conversion in a Currency Conversion Module in Banking Backend using Google Live Data,The system automatically processes the currency conversion based on the retrieved live data (specified by user by an Excel file).,System,Input Excel file and live currency conversion data from Google are available.,"1: The system reads the currency conversion data from the input Excel file. 2: Using the live data from Google, the system performs the currency conversion for each entry in the Excel file. 3: The converted currency values are recorded and validated by the system.",False
Validate Currency Conversion Results (Module: Currency Conversion in Banking Backend using Google Live Data),The system validates the results of the automated currency conversion.,System,Automated currency conversion tasks have been completed.,1: The system performs a validation check on the converted currency values. 2: Any discrepancies or potential errors are flagged for review. 3: Validated currency conversion results are ready for further processing.,True
Search and Download Journals,A user searches defined websites for specific topics and downloads journals and white papers.,"['User', 'System']",User has access to the system and defined websites for journal search and download.,1: User enters the specified search topics or keywords for journals and white papers. 2: The system retrieves the relevant journals and white papers from the defined websites. 3: User selects the journals and white papers to download.,False
Extract Journal Publication Details,The system extracts specific details from downloaded journals and white papers (provided by user).,['System'],Journals and white papers are downloaded and accessible for extraction.,"1: The system extracts the Date of Publication, Author, Heading/Topic, and Year of Publish from the downloaded journals. 2: The system identifies the Country of Publish for each journal. 3: The system summarizes the content of the entire journal or paper. 4: The system organizes the extracted details into an excel file.",True
Receive Business Travel Information,The 'Easy Business Tour' system receives business travel information of an employee or group of employees via email.,"System, Employee/Group of Employees",The email containing business travel information must be sent to the specified email address or system.,"1: System monitors the specified email address for incoming travel information emails. 2: System parses the email content to extract date, time range, source, destination, and number of passengers for the travel. 3: System validates the received travel information data.",False
Display Available Flights,"A system named 'Easy Business Tour' receives travel information (source, destination, people count, date range) through email, parses the info. Now the system displays available flights for the specified date, time range, source, and destination.","System, Employee/Group of Employees",The travel information must be successfully received and validated.,"1: System processes the received travel information to search for available flights matching the criteria. 2: System retrieves and displays a list of available flights with relevant details such as airlines, departure/arrival times, and seat availability.",False
Reserve Ticket for Customer(s),"The 'Easy Business Tour' system reserves the flight ticket for the customer(s) based on the selected flight from the options provided by the system after it was provided the source, destination, and date range.","System, Employee/Group of Employees",Available flights must be displayed and a specific flight must be selected by the employee/group of employees.,1: Employee/Group of Employees selects a flight from the displayed available options. 2: System processes the reservation request and updates the seat availability for the selected flight. 3: System completes the ticket reservation for the customer(s) based on the provided details.,False
Send Flight Ticket,The 'Easy Business Tour' system sends the reserved flight ticket to the concerned email-id from where the booking request was sent.,"System, Employee/Group of Employees",The flight ticket must be successfully reserved for the customer(s).,1: System generates the flight ticket with all necessary details for the reserved booking. 2: System sends the flight ticket to the email address from which the initial booking request was received.,False
Request New Proposal of Date/Time,"If the booking request cannot be processed successfully by 'Easy Business Tour' system (automated flight ticket booking based on passanger info), the system requests a new proposal of date/time from the requesting team.","System, Employee/Group of Employees",The system must encounter an issue while processing the booking request.,1: System identifies the issue in the received travel information or reservation process. 2: System sends a request to the employee/group of employees for a new proposal of date/time due to the encountered issue.,True
User Enrollment in Facial Recognition System,A user enrolls in the facial recognition system for the first time.,User,User intends to enroll in the facial recognition system.,"1: User initiates enrollment process in the system. 2: User provides personal biometric data (e.g., facial scan, iris scan). 3: System validates and stores the biometric data associated with the user's identity.",False
User Authentication using Facial Recognition System,A registered user is authenticated using facial recognition.,User,User is registered in the facial recognition system.,1: User stands before the facial recognition device for authentication. 2: Facial recognition system captures and processes user's facial features. 3: System compares the captured features with the stored biometric data of the user. 4: System grants access if the features match within a certain threshold.,False
Real-Time Identification of Individual Using Facial Recognition,The facial recognition system identifies individuals in real-time.,Facial Recognition System,System is operational and actively monitoring for individuals.,"1: Facial recognition system continuously scans the environment for faces. 2: Upon detection of a face, the system captures facial features and processes them. 3: System matches the captured features against the stored biometric data of enrolled users. 4: If a match is found, the system identifies the individual in real-time.",False
