Name,UserStory
ILovePDF,"As a student, I want to merge several scanned assignments into one PDF, so I can submit a single, clean document to my professor. Often, I scan handwritten pages separately or receive different parts of a group project from classmates. Having a tool that allows me to combine all those files into one organized PDF ensures that my submission looks professional and is easy for my instructor to review."
,"As a job applicant, I want to compress my resume PDF without compromising its design or readability, so I can meet the strict upload requirements on job application portals. Many sites limit file sizes to 1–2 MB, and if my resume includes high-quality images or graphics, it can easily exceed that. A reliable compression tool helps me maintain visual quality while staying within the limits."
,"As a researcher, I want to convert PDF documents—often downloaded from journals or institutional archives—into editable Word files, so I can make inline annotations, extract sections for reference, and restructure the document for literature reviews or meta-analyses. Manual retyping is time-consuming, so an accurate and fast conversion tool is essential for my workflow."
,"As a content creator, I want to add watermarks to my eBooks, templates, and downloadable PDFs before sharing them publicly, so I can prevent unauthorized redistribution and ensure that my brand identity is visible. The watermark should be customizable and placed discreetly so it doesn't interfere with the readability but still offers a level of copyright protection."
,"As an administrator, I want to rearrange and sort pages within a PDF document, so I can prepare formal reports, presentations, and documents in the correct logical sequence. Sometimes the pages I receive from different departments are out of order or contain duplicates, and being able to visually reorder or delete pages helps me finalize the document before distribution."
,"As a teacher, I want to protect sensitive PDF documents—such as exam question papers, answer keys, or internal guidelines—using password protection, so that only my intended students or faculty members can access them. This is crucial in maintaining the integrity of assessments and avoiding information leaks before official release."
,"As an editor, I want to compare two versions of a PDF document—typically a draft and a revision—so I can quickly identify what changes were made, including additions, deletions, and rewordings. Manually scanning for differences across large documents is inefficient and error-prone, so having an automated comparison tool saves time and ensures editorial accuracy."
Daily.Dev,"As a developer, I want to choose tags like #react, #ai, and #webdev, so that I get a personalized feed that matches my interests. Having a customizable tagging system helps me cut through irrelevant noise and focus only on the content that aligns with the technologies I’m currently working with or planning to learn. It ensures that my feed remains dynamic, relevant, and tailored to my goals."
,"As a tech company looking to reach developers, I want to run a targeted ad campaign on daily.dev, monitor its performance in real time, and optimize it based on engagement metrics, so that I can effectively promote my product, job openings, or event to a high-quality developer audi"
,"As a content creator, I want to submit blog posts to daily.dev, so I can share my knowledge with the developer community. Publishing on a platform geared toward developers helps me build credibility, engage with like-minded professionals, and contribute to the collective growth of the tech ecosystem."
,"As a daily.dev admin, I want to monitor user engagement with the browser extension, manage content sources, oversee the scoring system based on user interactions, and facilitate advertiser campaign management, so that I can ensure the platform delivers relevant content, maintains high-quality sources, fosters user engagement, and provides effective advertising solutions."
,"As a developer seeking to stay updated with the latest in technology, I want my browser's new tab to display a personalized feed of tech articles, allow me to add my favorite sites, and provide engagement scores based on my interactions, so that I can efficiently access relevant content, customize my reading experience, and track my learning progress."
